Marca temporal,Clase,Fecha,Hora,AM_PM,Hora_24,Apellidos_enc,Nombres_enc,ID_enc
2024/10/26 9:13:03 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMg41gTf-H6nwuAscRzHPLEWYN7aS2hYncccjR5zwjfSfiGhzQ8G4Rf7MZTArjH-daqp3hbchMAYFl1-G-vLmtrbw==,gAAAAABnTFMgl2h-dZMgg5_J73EnkTRZD0NqGRIEGiHWlivI07z-mwfD-t2JJFMZufRVayyUhxtqv-nL_yxPK--H0kwS_5QJDw==,gAAAAABnTFMgGRj_n65IOcukC6Xg9rvPJdm3GsQbu3zcLfO6iuxSaqU3nCBGc2ZcOOmShfYWYlN7vqXleUyqsddkuHguNGi0ow==
2024/10/26 9:13:04 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMg8vpRKoxXFbAhT1OP7cfJ-qBvVlvPwMYEcxKBUCsaPEd43L4fWY-FmsxT-oIU6Sja279JBZ_c4tSfc0SHfOCnGqGm_rL589WkgYs6vMy0ypI=,gAAAAABnTFMgtR87x9qB2FGB7y0tBeqpAG5wYCXHVi254M9xCXIjCeiVlwca7VVf-GMJd8Ovg4ughKhuNRbHk2yjLHSE18z8uw==,gAAAAABnTFMg613TF0AR2EeOv7Hj9DJjvqEkqrIEufiwVV6KG3H4uQpVkxY6R5fN_X1rKi75O4xxyijWqx5xItb_5piMwHRO3Q==
2024/10/26 9:13:08 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgSRESUR9xq7OA58tcWzVQMLc2m-Jaaeth79Mtpj8KjvfzQwy0TdxnKXcm42VKtASInxlJKx1xsfD_exK3_bzzRw==,gAAAAABnTFMgRd6HACkRkUpciL9NS2CqDEhrG8ZcT0FXpcDrhlZwj29ZtK2nVlsarXpGdVFhezHckMK0m3GbOAlql-40w1C1nhnBwm6_fGRzZqVcszv3rLs=,gAAAAABnTFMg_ZkpPFdrQy0XwgNpJaRwEmaSCSqQ73xICb3-s2C5NWK1qgdmo0n67LHRY4tJ7h0t4p2gReK0N4qObCMX-wbBIw==
2024/10/26 9:13:08 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgy5zyLKu8W2mQT9WdIQcPE7YZ7iRC2wSUL9ljtvD-BgGwU4B0y-ktzg5b05PsLpmyP2YgKlx76R-N5nS9dvOGcQ==,gAAAAABnTFMg3lR0AZHF6wnZg-pSpFR2LEzArzOTvoGSvb_SxXlOMhvFwNyR_4bjL6PkZD5cIh-dlaUOykmbZydoKdDg3dA_8Q==,gAAAAABnTFMgmckG7UaUWhqLNV23_67P0QNh44UockCBvs_yPHo3M-eCEpR3SkwI2f0DiifPfwwSpcMg1HZ_d3_3U2N9te9i8g==
2024/10/26 9:13:17 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgpYMhk1T-O2Dn7YbZc5JhSlKdPqZMOiBgrMAbQadO6Vcas-9INrU0M6gB5RgryLG0VyG5F15wfIyDl1OWhG3wBLCGjdkqjjYwodjCgloAAzA=,gAAAAABnTFMgem-s6NFtaN8Zey2xNCYybZHuK_rUBZ_wUi1G_-wX7sTqOdXuSkx9aQ2LNlmDCB7DBz2xXgYo7fvBePvLI57AmN6RirqslP6kAuUYpQtPzGM=,gAAAAABnTFMgwmKv8qc--l9PWx_GgBiiFQQSEyNdCytkSqN19TTPsE6fWGgEPIw-KR5OjbCOBhzFxE32lwBiai2nvcR1Wdm0OA==
2024/10/26 9:13:23 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgduSDghJ_l5wMzJVOy949TWXLpG0DB873kC7kK3uFsUO4TbIqIQPnrbkDC7dC-ME7HZ0k8HVIkfoWHxtSvKvLstc58hIM0n4MEYvXU7X1jkw=,gAAAAABnTFMg7l9spXAxUchOCjlBKSzfgdhaFapx8Z5v1MNlP9LfisaMCHoipaF2J6wSvz007rrqP6tIvmMWtMGWmMXRdzWHaQ==,gAAAAABnTFMgYRpPek1B9Wmxi5Bq0wzFd0dBkSyOf8Sg3LH4Go_LGujdCLQvQIMGbseHLH_TfjE3LLqEYdZ25xfzmJbqvDfVDw==
2024/10/26 9:13:23 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMg-2PcoCz4bP2ISyTS9QhUypdu0mcTQMGUNaEIoClLNx_3xPUhdbLPjRPMW5l8FXNYvLTwCJI-sBUmPvBiPMumEA==,gAAAAABnTFMgMgBcAOTOGGSl0jGKfF3IYlxJaUTLHLoLW_wsjObxoOVIYEvnQVunfsVLSbQiJy4214rXJIgTdqZiYbk_b7ZH_630PLsUKail_popj-Vp3zs=,gAAAAABnTFMg9bjogmYRXdk2gDcQY-pAM5QEPLbmv8oxaVkgF77qXUs4erUWCTMB9yp_3aeK6wRLVAokfLkp2ILRWs6SvMemhg==
2024/10/26 9:13:24 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgMsBfdQMC9Uxaz-zROnScRTRBF2IKpyPIXAleRSXI2clk5aNfMPFS4DqOABGss4Q23b9QCRRXQPkfutR_Tvd_kmVdjAO0r_dN0uYFAm2nw3Q=,gAAAAABnTFMgiZqd4BuCLbeJCmmGs_uiIyj4p2bjUfTQBkDZUPM66b5WEdmYJewQfHQwuEBh8LGmL2cfYPkmR8BEXVyXzVChmw==,gAAAAABnTFMgLrxkQAdg-MIVsOEnHaFQs1yKJ-LYd6HbR2cnNvY5LIt0OyxUrGC4pxSJwwe-bEfxZN5AjyIvQwKBZtn63G_lmw==
2024/10/26 9:13:25 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgtbB-YQeTxS7TpXca9E5wB8ws9VFfd19ZZfNqN6g8mQABhQJPavoZS4HgPp-zmEPIgf6GzCCopUO6PcMsziMtKw==,gAAAAABnTFMgmxJWbIUkUldst0iELhf-N0hYvtY2Oj5amWTotQ6rpo1Gf_fh33xaa_gSfohUUytPRMl2IgQLnbmOukJd6o9c-w==,gAAAAABnTFMgR_zMZkAsnWE5mE7d5UQ05mxe-GSL27GdI_SIaIfSbulOZZMcnsljN6OmthupXt2WBG2jJSvmiMVtklMhVw0FMg==
2024/10/26 9:13:27 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgOAs_7PoCpVCX6aZYuTG53BU4sw4u6Mgejxfhm1WIeO2kPiA1Otjj5CRO9OdMMC7ED3PGvbz68wZ1pOrn0ndEnA==,gAAAAABnTFMgrVGJ5LTr8-tEwBG5HawnKYw7ifQaD8_Gsjn5Xbc8N34-n3ZLGJQ1axpgI2ysTofrWbNHYUlVFhsRvDfKhpfrog==,gAAAAABnTFMgp_JIQLfRBjPYKnFnRXRZXqgOAZk1S9Qb_4pUJyGHc4pi-uNbVTJxdrGiBHUBDncAvIJpBG-ayW11rhMLFXQqsA==
2024/10/26 9:13:34 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgQP4TOm6mfUDk41p18ogBhT8_ptdxcVfMyXijutlw4SlTHd1jUIMM_FX48ThVKVaIv7HVADA7e3LH2hkTxlNLww==,gAAAAABnTFMga_LKvlchRwBNKwTiSJWQQfiJgLC-ZWYzSQQQ9tjTNkuI1wf5nDK70J_5__S_VI_zjw7wc4qkXo7YtJOK3Try1RfnXjIl9j783Bm1q1-Ba3M=,gAAAAABnTFMgDCp3he7Dc1oPLISePG9NH8FVg_-4jzbs1KLuAVtnCrBdkLF1XTJnCN821rPPJBkZjCvomwu7oNIPepO7mUbgqQ==
2024/10/26 9:13:36 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMg40SqMW0NTBFh1-Xn7ka8ojwUpml4V83fhCiydVPrTPLjP3IRBF4GS_KY1iLe4PtMogX9jYosdWCzBQ5bDQciH-GavtHxjCBXv-qVxfffH5Y=,gAAAAABnTFMgYFawzzRqUcd7L7jyXKfSJXjmF5Xz-9qTbeBqqZBu9tg4jvyqLqHPrK6SylXHaE1TmTwRMycYyA5xp1fLnQONg4Tkd7B1OnpoboiNg1DiKpg=,gAAAAABnTFMg9vrdKtLUDEgXXYzeEMkZim_ruPkFYowbzBuzC46Sh4sH87oFdPjVBijlTy-rIJkAxv1yq8lbGXUnIQ-cIUD-Lg==
2024/10/26 9:13:42 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgqUrMiZ5XWF-wN7zjDNnWKw5q5S4P3gqdIQUUOKdZq6afjnwXgjubTkBHjPOIafo1-tmgNfepvjv37n4lOoPkLkv198-Fbgw6LivZbTVpGj0=,gAAAAABnTFMg_48zJHY4b7lpwG4pRvtp5QvOYb-OaEazG3KN4Fcjq0g2hdXT_utHL0yKct6K0l_NwYCDlfv9zZsWPPRe-nBegA==,gAAAAABnTFMg76oMiqN3QH1bbSImvDaz-yluUrqDQyq6nLNpJRHVdRiAPKuJZ5BC87-w_7OjSOP1JQWu7xQZRs_K2444E1N5kw==
2024/10/26 9:13:44 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgo9Lt2TRULT4WOLVWU8HzE7Yfds39Y04cVnTmFumrteup51C9zEnJJKyHbWmBGuHj5-acJSCxVWfWLbG_j4JPxg==,gAAAAABnTFMg00mBoNUxPzBJfbB6hb4NjWUop_O5jGW7vO55tanx2WZS81Y5Wax4LjAC_1V4eH8NKZqwy71q4uZrXtIP95suaQ==,gAAAAABnTFMg7Z5Q6-mDM53zfVgZKYO2YsgTkvX07msT4e7wDNRh-AVIJrSvehsBW2hIUHTKfzsODaHKC6IkdmPFPZba8aFmJw==
2024/10/26 9:13:46 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgNBJ1zD0K7oLnNoyt6fJJR9GAZm_xOpIX8rQXOc4Feqc7NfEYVuSDrpJzO0bfhCCLc-bv4bADeT1MJIxI008nXQ==,gAAAAABnTFMg7H9aR7UGwOM1vOno-d8zTkbvvHLzOFsjf-MOwE8RXKcUiysNI6j2rgeldoCFTSJGWgT71BAeTXmlokSSiUkKNA==,gAAAAABnTFMgcVG6UySHBZxmL9uYXpdLoFdyM67liQtopKw6P1wGowCRLU2VuRPz9CXzr_A9QLpTbuYnZvnEP7LEIM4JILk2pg==
2024/10/26 9:13:56 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgZCOiVjFSwPBYhCIc5DEFlmPxNU4SfbHvT7oxpHI5TLQfUqocX2q2_iYH5cmKHkBR0wRrLLaNkPyZiUQ_EyhnYw==,gAAAAABnTFMguEYrKQn28pzhEVy1qVlJiSofFjwBoA_d4W6d4H3-ykdnqY8wv3ggl872P_mrP9qSgWKd7dYk7RiTFVSAF1tPXQ==,gAAAAABnTFMgv_nEl4wwLLMFFbB3v8XSyZoAawdZ1sZQ7ZeJCVKuudKp1ITkoYTyaO9oGwCyJxFHib0HPn7_pZwHbq2ZUwBuag==
2024/10/26 9:13:56 a. m. GMT-5,1,2024/10/26,09:13,0,09:13,gAAAAABnTFMgSOKDaWXnSXEX4zW2J6GoVgU6FkBZCvpyaILZE39nyULSZH_cLsWyBW-8oxniZLAAVrJzq0EIGkCT6Ard0xaIHg==,gAAAAABnTFMgTRB4AoQ5954kXMgRnbwL0Sj1EyxGltSGYB_9uk1HTpZRXkM-9LMWvebyA3Ti68MP-XJgWOJzXehj3qunK6n4OA==,gAAAAABnTFMgrMEw-M1H1W21jkxsMqHXJUYYr42tM7NcTRAbqBVcsAl2-cdNp2-sPDpNPLl8T1jqEnFwH4ys-zlgy_mHBQuoHA==
2024/10/26 9:14:07 a. m. GMT-5,1,2024/10/26,09:14,0,09:14,gAAAAABnTFMg6ZSi9skEqvuJouQbB-l-vJHPmZXUX1SrJwgWcX9X5OP__ZADYJSMR6R9a_FwaoJ1c-8WsiuUo-3xxggNle5YFA==,gAAAAABnTFMg-MaTHcW7Nl4r5-jS3n7z1MCdmNEklPhtJmJBP0KAy_C_k3VmT3_9u7M6H7uNLfiqEmVltn65Y7NpV4e4_Z9a-Q==,gAAAAABnTFMgXJvtTZAAAJ3MfnlS8kZZ_LlaVIoHlw-kBjsYpy-cR2SNKAonhiXc6B8iXCyZQgrMylHoiVlyEsiwNFCO1KBlyw==
2024/10/26 9:14:30 a. m. GMT-5,1,2024/10/26,09:14,0,09:14,gAAAAABnTFMgc7CwJ_ImiJ6SB3pXlspD9dOQWvjEcWZYRquS9OUVXTigi4DQFI6eS9NXJvzMgP1dGktEUGo1nYH3UfRaqkrf1A==,gAAAAABnTFMgEwA35K5sitI00ycGPhlnJFspQWmzQnTHkMQ9RuuCIdPjZNve7yJiH4HZcxmgSqz2qWQpVKgzxqalTxuPFyNajOlIWbcImRUFFjxGn-Lw1No=,gAAAAABnTFMgdOtawO6ljwIj-amEZ_TP48IlRj52dwga3dErM_mCt973c-SpwKx04P0AI0NXvwWkIf02BY8uZSyTrhqRTboTNQ==
